iter	Passed	Remaining
0	3	3961
1	5	2852
2	9	3149
3	13	3299
4	17	3480
5	20	3333
6	24	3439
7	28	3591
8	32	3586
9	34	3377
10	36	3295
11	39	3273
12	42	3236
13	45	3203
14	47	3101
15	49	3048
16	52	3022
17	55	3014
18	58	3018
19	59	2938
20	62	2911
21	65	2892
22	68	2906
23	70	2880
24	73	2876
25	76	2863
26	79	2862
27	82	2866
28	85	2847
29	87	2823
30	90	2823
31	91	2770
32	93	2748
33	95	2727
34	98	2722
35	101	2720
36	104	2732
37	108	2734
38	110	2733
39	113	2732
40	116	2730
41	119	2733
42	121	2702
43	124	2696
44	126	2693
45	129	2690
46	132	2695
47	135	2693
48	138	2688
49	141	2688
50	144	2681
51	146	2676
52	148	2645
53	150	2639
54	153	2638
55	156	2634
56	158	2630
57	162	2641
58	165	2636
59	168	2642
60	171	2638
61	173	2629
62	176	2624
63	179	2629
64	182	2628
65	184	2607
66	187	2607
67	189	2597
68	192	2594
69	194	2587
70	198	2596
71	200	2589
72	203	2586
73	206	2582
74	208	2575
75	211	2571
76	214	2567
77	216	2559
78	219	2558
79	221	2550
80	224	2542
81	227	2542
82	229	2533
83	231	2528
84	237	2558
85	240	2553
86	242	2549
87	245	2541
88	247	2533
89	250	2529
90	252	2520
91	254	2511
92	256	2505
93	259	2496
94	261	2490
95	262	2474
96	264	2464
97	266	2454
98	268	2448
99	271	2443
100	272	2422
101	274	2413
102	276	2411
103	278	2403
104	280	2393
105	283	2388
106	284	2378
107	287	2372
108	288	2358
109	291	2355
110	293	2349
111	295	2344
112	298	2345
113	300	2337
114	302	2330
115	305	2324
116	307	2318
117	309	2310
118	311	2306
119	313	2302
120	315	2295
121	317	2287
122	320	2283
123	322	2277
124	324	2269
125	326	2264
126	328	2260
127	330	2254
128	333	2254
129	336	2249
130	338	2244
131	340	2239
132	342	2233
133	344	2226
134	346	2219
135	348	2212
136	350	2209
137	352	2204
138	355	2202
139	357	2196
140	359	2189
141	362	2189
142	365	2190
143	367	2186
144	370	2187
145	373	2182
146	375	2177
147	378	2176
148	380	2172
149	382	2166
150	386	2171
151	388	2169
152	392	2175
153	395	2173
154	399	2180
155	404	2188
156	407	2190
157	410	2188
158	413	2188
159	416	2184
160	418	2179
161	420	2177
162	423	2174
163	425	2169
164	428	2166
165	430	2163
166	432	2159
167	435	2156
168	437	2152
169	440	2148
170	443	2150
171	445	2146
172	448	2141
173	451	2141
174	453	2138
175	456	2135
176	459	2134
177	461	2130
178	464	2129
179	466	2127
180	469	2123
181	471	2120
182	474	2118
183	476	2115
184	480	2114
185	482	2111
186	484	2107
187	487	2105
188	489	2099
189	491	2094
190	494	2093
191	496	2091
192	499	2086
193	501	2084
194	503	2080
195	505	2075
196	508	2074
197	511	2071
198	513	2067
199	516	2066
200	518	2062
201	521	2059
202	524	2058
203	526	2054
204	528	2049
205	531	2047
206	533	2043
207	535	2039
208	538	2037
209	540	2034
210	542	2030
211	545	2026
212	547	2023
213	549	2019
214	563	2057
215	566	2055
216	569	2055
217	571	2050
218	573	2046
219	576	2044
220	578	2040
221	581	2036
222	584	2036
223	587	2033
224	589	2031
225	593	2031
226	595	2029
227	598	2026
228	600	2020
229	602	2017
230	606	2017
231	608	2013
232	610	2010
233	613	2006
234	615	2002
235	617	1998
236	620	1996
237	622	1992
238	624	1987
239	626	1985
240	628	1980
241	631	1976
242	633	1974
243	635	1970
244	638	1966
245	640	1963
246	642	1959
247	644	1955
248	647	1951
249	649	1949
250	652	1945
251	655	1945
252	657	1942
253	660	1939
254	663	1937
255	665	1933
256	667	1929
257	670	1927
258	672	1924
259	674	1920
260	677	1917
261	679	1913
262	681	1909
263	684	1907
264	686	1904
265	689	1901
266	692	1900
267	694	1896
268	696	1892
269	699	1889
270	701	1887
271	703	1883
272	706	1882
273	709	1878
274	711	1874
275	714	1873
276	716	1869
277	718	1866
278	721	1863
279	723	1859
280	725	1855
281	727	1852
282	729	1847
283	730	1842
284	732	1837
285	734	1834
286	736	1829
287	738	1824
288	739	1819
289	742	1817
290	744	1813
291	746	1809
292	749	1808
293	751	1804
294	753	1800
295	756	1798
296	757	1794
297	759	1789
298	761	1785
299	763	1782
300	765	1777
301	767	1772
302	769	1769
303	770	1765
304	772	1760
305	774	1756
306	776	1753
307	778	1749
308	780	1744
309	781	1740
310	784	1737
311	786	1733
312	787	1728
313	789	1724
314	791	1721
315	793	1717
316	794	1712
317	796	1708
318	799	1705
319	800	1701
320	802	1697
321	805	1695
322	807	1692
323	809	1687
324	811	1684
325	813	1681
326	814	1677
327	816	1672
328	818	1669
329	820	1665
330	821	1661
331	823	1657
332	825	1654
333	827	1650
334	829	1646
335	831	1643
336	834	1640
337	835	1637
338	837	1632
339	839	1629
340	841	1627
341	843	1623
342	845	1619
343	847	1616
344	849	1612
345	850	1608
346	852	1604
347	854	1601
348	856	1597
349	858	1593
350	860	1590
351	862	1587
352	864	1583
353	865	1579
354	867	1576
355	869	1573
356	871	1569
357	873	1566
358	875	1563
359	877	1559
360	879	1556
361	880	1552
362	883	1549
363	884	1546
364	886	1542
365	888	1539
366	890	1536
367	892	1532
368	894	1528
369	897	1528
370	899	1525
371	901	1521
372	903	1518
373	905	1515
374	906	1511
375	908	1507
376	911	1505
377	913	1502
378	914	1499
379	918	1499
380	920	1495
381	922	1492
382	924	1489
383	927	1487
384	929	1484
385	931	1481
386	933	1478
387	935	1475
388	936	1471
389	939	1469
390	941	1465
391	943	1462
392	945	1459
393	947	1457
394	949	1454
395	951	1451
396	953	1448
397	955	1445
398	957	1442
399	959	1439
400	961	1435
401	963	1432
402	964	1429
403	967	1426
404	969	1423
405	971	1420
406	973	1417
407	975	1415
408	977	1412
409	979	1409
410	981	1406
411	983	1404
412	985	1401
413	988	1398
414	990	1395
415	992	1392
416	994	1390
417	997	1388
418	999	1385
419	1000	1382
420	1003	1379
421	1005	1376
422	1006	1373
423	1008	1370
424	1011	1367
425	1012	1364
426	1014	1361
427	1017	1359
428	1018	1356
429	1020	1353
430	1022	1350
431	1025	1347
432	1027	1344
433	1029	1343
434	1032	1340
435	1033	1337
436	1035	1334
437	1038	1332
438	1040	1329
439	1041	1325
440	1043	1322
441	1045	1319
442	1047	1316
443	1048	1313
444	1050	1309
445	1052	1307
446	1054	1303
447	1055	1300
448	1057	1297
449	1059	1294
450	1060	1291
451	1062	1288
452	1064	1285
453	1066	1282
454	1068	1279
455	1069	1276
456	1071	1272
457	1073	1270
458	1076	1268
459	1077	1265
460	1079	1262
461	1081	1258
462	1082	1255
463	1084	1252
464	1085	1248
465	1087	1246
466	1089	1243
467	1090	1239
468	1092	1236
469	1094	1234
470	1096	1231
471	1097	1228
472	1099	1224
473	1101	1222
474	1103	1219
475	1105	1216
476	1106	1213
477	1108	1210
478	1110	1207
479	1111	1204
480	1112	1200
481	1114	1197
482	1116	1194
483	1117	1191
484	1119	1188
485	1120	1185
486	1122	1182
487	1123	1179
488	1125	1175
489	1126	1172
490	1128	1169
491	1130	1166
492	1131	1163
493	1133	1160
494	1134	1157
495	1136	1154
496	1138	1151
497	1139	1148
498	1141	1145
499	1143	1143
500	1145	1140
501	1146	1137
502	1147	1134
503	1149	1131
504	1151	1128
505	1153	1125
506	1154	1122
507	1155	1119
508	1157	1116
509	1159	1113
510	1160	1110
511	1162	1107
512	1164	1105
513	1165	1102
514	1167	1099
515	1168	1096
516	1170	1093
517	1172	1090
518	1173	1087
519	1175	1084
520	1176	1081
521	1178	1079
522	1180	1076
523	1182	1073
524	1183	1071
525	1185	1068
526	1187	1065
527	1189	1062
528	1190	1060
529	1192	1057
530	1194	1054
531	1195	1052
532	1197	1049
533	1199	1046
534	1201	1044
535	1203	1041
536	1204	1038
537	1206	1036
538	1208	1033
539	1210	1030
540	1211	1027
541	1213	1025
542	1215	1022
543	1217	1020
544	1218	1017
545	1220	1014
546	1222	1012
547	1224	1009
548	1226	1007
549	1227	1004
550	1229	1001
551	1231	999
552	1232	996
553	1234	993
554	1236	991
555	1238	988
556	1239	985
557	1240	982
558	1242	980
559	1244	977
560	1246	975
561	1248	973
562	1251	971
563	1253	969
564	1256	967
565	1258	965
566	1260	962
567	1263	960
568	1266	959
569	1268	956
570	1269	954
571	1271	951
572	1274	949
573	1276	947
574	1278	944
575	1280	942
576	1281	939
577	1283	936
578	1285	934
579	1286	931
580	1288	929
581	1290	926
582	1291	924
583	1294	921
584	1295	919
585	1297	916
586	1299	914
587	1300	911
588	1302	908
589	1303	906
590	1305	903
591	1307	901
592	1308	898
593	1310	895
594	1312	893
595	1314	890
596	1315	888
597	1317	885
598	1319	883
599	1321	880
600	1323	878
601	1324	875
602	1326	873
603	1328	870
604	1329	868
605	1331	865
606	1333	863
607	1335	860
608	1336	858
609	1338	855
610	1340	853
611	1342	851
612	1343	848
613	1345	845
614	1347	843
615	1349	841
616	1350	838
617	1352	835
618	1354	833
619	1356	831
620	1357	828
621	1359	826
622	1362	824
623	1363	821
624	1365	819
625	1367	816
626	1369	814
627	1371	812
628	1372	809
629	1374	807
630	1376	804
631	1377	802
632	1379	799
633	1381	797
634	1382	794
635	1384	792
636	1386	790
637	1387	787
638	1390	785
639	1391	782
640	1393	780
641	1394	777
642	1396	775
643	1398	772
644	1399	770
645	1401	767
646	1403	765
647	1405	763
648	1406	760
649	1408	758
650	1410	756
651	1412	753
652	1413	751
653	1415	748
654	1417	746
655	1419	744
656	1420	741
657	1422	739
658	1425	737
659	1426	735
660	1428	732
661	1429	729
662	1430	727
663	1432	725
664	1434	722
665	1435	720
666	1437	717
667	1439	715
668	1440	712
669	1442	710
670	1444	708
671	1446	706
672	1448	703
673	1449	701
674	1451	698
675	1453	696
676	1455	694
677	1456	691
678	1458	689
679	1460	687
680	1462	684
681	1463	682
682	1465	679
683	1467	677
684	1469	675
685	1470	673
686	1471	670
687	1473	668
688	1475	665
689	1477	663
690	1478	661
691	1481	659
692	1482	656
693	1483	654
694	1485	651
695	1487	649
696	1489	647
697	1490	644
698	1492	642
699	1493	640
700	1495	637
701	1497	635
702	1498	633
703	1500	630
704	1502	628
705	1503	626
706	1505	623
707	1506	621
708	1508	619
709	1510	616
710	1511	614
711	1513	612
712	1515	609
713	1517	607
714	1518	605
715	1520	603
716	1522	600
717	1524	598
718	1526	596
719	1528	594
720	1530	592
721	1531	589
722	1533	587
723	1535	585
724	1536	582
725	1538	580
726	1540	578
727	1541	575
728	1543	573
729	1545	571
730	1546	569
731	1548	566
732	1552	565
733	1554	563
734	1555	560
735	1558	558
736	1559	556
737	1561	554
738	1562	551
739	1564	549
740	1566	547
741	1567	545
742	1568	542
743	1570	540
744	1572	538
745	1573	535
746	1574	533
747	1576	531
748	1578	528
749	1579	526
750	1581	524
751	1582	521
752	1583	519
753	1585	517
754	1587	515
755	1588	512
756	1590	510
757	1591	508
